DATES,CAR,SGJ,1834,JMMBGL,JSE
43406,8.98,52.48,1.14,33.16,10.02
43409,8.98,51.17,1.16,32.66,10.5
43410,8.84,51.28,1.1,33.35,10.45
43411,9,50,1.1,33,10
43412,9,50,1.1,33.01,10
43413,9,51.99,1.1,33.9,10.45
43416,9,50.5,1.11,33,10.3
43417,8.8,50.5,1.16,33,10.5
43418,9,48.8,1.14,32.5,11
43419,9,53.5,1.16,34,10.16
43420,9,55.99,1.24,33,10.42
43423,9.5,53,1.2,31.8,10.5
43424,9.18,55.99,1.2,31.75,10.45
43425,9,55.99,1.2,31.76,10
43426,9.5,55.98,1.2,33,10
43427,9.5,56.1,1.2,34,9.95
43430,9.35,56.1,1.15,33,9.41
43431,9.3,60,1.13,32.51,9.9
43432,9.05,59,1.16,32.51,9.9
43433,9.5,58,1.16,32.51,9.62
43434,9.33,57.26,1.16,34.88,9.84
43437,9.1,57,1.16,34.99,9
43438,9.25,58,1.17,34.99,10
43439,9.1,59,1.17,34.99,8.4
43440,9.05,56.61,1.16,33.32,9.01
43441,9.13,56.27,1.16,32.21,9.03
43444,9.3,54.51,1.12,34,9.2
43445,9.3,54.01,1.14,32.52,10
43446,9.26,55,1.14,34.97,9.5
43447,9.49,56,1.14,33,8.88
43448,9.3,54.01,1.14,34,10.05
43451,9.33,56,1.12,32.5,9.16
43452,9.33,52.02,1.1,32.05,9.43
43453,9.33,52.5,1.15,32.5,9.2
43454,9.5,56,1.15,33.5,9.26
43455,9.25,56,1.15,34,9.2
43458,9.3,52.51,1.15,32.8,9.5
43461,9.5,52.01,1.07,32.8,9.35
43462,9.5,55,1.16,28.26,11
43465,9.4,55,1.16,32.56,10.5
43467,9.47,54,1.16,34,9.4
43468,9.48,56,1.14,33.99,10.5
43469,9.43,52.3,1.07,33.08,10.75
43472,9.48,55,1.05,33.99,10.2
43473,9.46,54.5,1.05,30.8,10.77
43474,9.48,54,1.05,33.99,10.5
43475,9.48,52.01,1.05,33.98,10.7
43476,9.4,54.99,1.1,32.5,10.7
43479,9.46,54,1.1,33.98,10.68
43480,9.49,52.5,1.1,32.14,10.75
43481,9.49,53.99,1.05,32,10.77
43482,9.49,55,1.1,29,11
43483,9.3,52.01,1.1,32,10.8
43486,9.2,52.4,1.05,32,11
43487,9.1,51.9,1.05,31.03,11
43488,9,52,1.05,32,10.86
43489,9.1,53,1.05,32.89,11.3
43490,9.48,52,1.05,31.8,12
43493,9.22,51.5,1.05,32.5,11.99
43494,9.49,52.25,1.05,32.1,11.99
43495,9.49,52,1.05,32.5,12.5
43496,9.42,51.75,1.05,32.39,12.05
43497,9.5,50.3,1.05,32.99,13
43500,9.5,53.97,1.08,32.5,12.65
43501,9.5,53,1.1,32,13
43502,9.46,51.05,1.05,32,13.5
43503,9.48,53.99,1.1,32.8,13.95
43504,9.48,53,1.05,32.8,14
43507,9.46,53,1.1,32.1,15
43508,9.5,51.11,1.05,32.75,16
43509,9.5,51.25,1.05,32.75,15.95
43510,9.5,52,1.05,33,16
43511,9.5,53.99,1.1,31.7,17.5
43514,9.5,53.95,1.07,32,17.15
43515,9.5,53,1.05,31.75,17.5
43516,9.5,53.93,1.05,31.5,17.38
43517,9.5,53.45,1.01,32.5,17.4
43518,9.48,53.9,1,33,17.5
43521,9.49,51.55,1,33,17.15
43522,9.47,53.63,1,33.41,17.44
43523,9.45,52.5,1.1,33,17.5
43524,9.48,53.19,1.05,32.68,17.86
43525,9.49,53,1.05,32,17
43528,9.43,53.15,1.1,33,17
43529,9.13,52.3,1.1,31.9,16.39
43531,9.2,53,1.1,32.99,15.75
43532,9.2,53,1.06,32.01,15
43535,9.49,52.99,1.11,31.51,15
43536,9.39,51.99,1.06,31.49,14.93
43537,9.27,51.43,1.11,31.04,14.68
43538,9.3,51.4,1.11,32,16
43539,9.42,51.49,1.11,31.73,16
43542,9.4,50.25,1.06,31.7,16
43543,9.3,51,1.06,31,15.95
43544,9,51,1.07,30.5,17
43545,9.47,50.2,1.07,31,17
43546,9.41,51.53,1.1,31.08,16.97
43549,9.45,50.2,1.1,30.02,16.97
43550,9.33,51.05,1.1,30.11,16.65
43551,9.43,51.06,1.1,31.99,17
43552,9.43,51.07,1.1,31.99,17
43553,9.48,52.8,1,33,17
43556,9.45,51.5,1.04,33.5,17
43557,9.48,52,1,32.9,17
43558,9.49,51.3,1,33,16.95
43559,9.49,50.2,1,31.05,16
43560,9.05,52,1.09,31,17
43563,9.38,50.58,1.04,30.12,16.03
43564,8.5,50.2,1.03,30.12,17
43565,9.01,50.2,1.02,30.76,16.99
43566,8.9,50.2,1,30.01,17
43567,8.95,50.2,1,30,17
43570,8.91,50.2,1,29.95,16.77
43571,8.82,50.26,1,30.42,17.14
43572,8.85,50.5,1,30.5,17.25
43573,9,50.2,0.98,30.6,17.25
43578,9,50.5,0.99,31.5,17.02
43579,8.93,50.69,1.08,30.98,17.22
43580,8.9,50.51,1.08,30.93,17.2
43581,9,50.65,1.08,33.45,17.5
43584,9,50.5,1,33,17.99
43585,9,51.99,1.1,33,18
43586,8.95,51.99,1.05,31.5,20
43587,9.01,50.5,1.05,33.4,20.1
43588,9,53,1.15,34,20.02
43591,8.99,50.75,1.07,32,20.1
43592,8.99,51.05,1.05,34,20
43593,8.92,51,1.1,33.99,20.1
43594,8.93,50.3,1.1,34,20.1
43595,8.99,50.99,1.1,33.95,20.05
43598,8.93,50,1.05,33,20.05
43599,8.92,51,1.05,33.85,20
43600,8.95,50.4,1.05,33.94,20
43601,8.97,50.89,1.05,38.48,19.76
43602,9,50.68,1.06,37.68,18.19
43605,8.99,50.17,1.05,38.75,18.83
43606,8.97,49.15,1.05,38.52,19.48
43607,8.99,50.96,1.05,38.7,19.01
43609,9,50.08,1,38.85,19.25
43612,8.95,52.64,1.09,38.95,19.06
43613,8.96,51.51,1.09,38.87,19
43614,9,51.61,1.09,38.97,19.36
43615,8.99,51.98,1.09,39,19.8
43616,8.99,51.96,1.1,38.98,19.73
43619,8.96,51.67,1.1,39.28,19.84
43620,8.99,51.01,1.1,39.55,19.87
43621,8.98,51.07,1.09,39.79,19.65
43622,8.98,51.34,1.1,39.85,19.21
43623,8.94,51.35,1.1,39.79,18.58
43626,8.91,51.14,#N/A N/A,39.37,19.69
43627,8.91,51.46,1.05,36.6,19.75
43628,8.91,51.49,1.1,39.33,19.91
43629,8.89,51.1,#N/A N/A,39.32,19.75
43630,8.73,53.38,#N/A N/A,38.67,19.72
43633,8.42,53.14,1.07,39.02,19.92
43634,8.03,54.04,1.07,38.91,20.02
