DATES,CAR,SGJ,1834,JMMBGL,JSE
44148,6.6,48.15,1,31.51,17.97
44151,6.6,46.72,0.95,31.5,18.2
44152,6.6,47.95,0.97,31.89,18.2
44153,6.6,45.06,0.95,32,18.32
44154,6.59,45.2,0.95,32,19
44155,6.55,46,0.95,31.98,19
44158,6.5,46.85,0.98,31.9,19.87
44159,6.45,46.85,0.88,33,19.9
44160,6.48,45.14,0.98,32.35,19
44161,6.45,45.1,0.98,33,18.62
44162,6.43,47.99,0.98,35,19.5
44165,6.5,46,0.88,35,21
44166,6.45,45,0.98,33.22,20.75
44167,6.43,45,0.98,35,20
44168,6.42,45,0.98,33,20
44169,6.47,44.5,0.98,35,19.55
44172,6.49,47.49,0.77,35.01,20
44173,6.45,43.12,0.98,33.01,19.5
44174,6.46,44,0.98,35,18.27
44175,6.46,41.41,0.82,35,18.76
44176,6.5,46.5,0.82,34,18.28
44179,6.43,45,0.82,34,18.76
44180,6.51,45,0.97,34.5,19.99
44181,6.59,45,0.97,33,18.76
44182,6.55,44,0.98,32,19.45
44183,6.43,44.5,0.98,35,19.5
44186,6.59,43.48,0.98,32.07,19.5
44187,6.59,42.51,0.9,33,19.45
44188,7,45,0.98,32.99,19.85
44189,7.35,45,0.98,34,19.7
44193,7.25,44.95,0.98,33.5,19.62
44194,6.99,43.51,0.99,31.75,19.72
44195,7.3,44.95,0.98,33.97,19.99
44196,7.25,44.25,0.98,36.5,20.04
